TSP,C,alpha,beta,w_pers_best,w_pers_prev,w_parent_best,detection_threshold,reaction_type
eil51,0.1,1,5,0.9698012032709232,0.4970104731148196,0.9420638486560448,0.3905213054442555,partial
eil51,0.25,2,9,0.1433513703862964,0.2385297997812011,0.5412435716306161,0.3635623273846985,full
eil51,0.5,2,10,0.0587705067002678,0.959991562647809,0.4867708232028435,0.4598096104688355,full
berlin52,0.1,3,9,0.0448916769013341,0.4777787643927934,0.1957091892595615,0.2759480271198957,partial
berlin52,0.25,2,8,0.8311455041131819,0.2222104051600784,0.313274428287894,0.436036995565174,full
berlin52,0.5,1,9,0.2485751505630211,0.7739840642032905,0.9723725969016688,0.3880068267237935,partial
pr136,0.1,2,8,0.0939741840300781,0.0084471729216077,0.4693720297474018,0.3863810991570361,partial
pr136,0.25,2,10,0.038003058216178,0.6873466028167179,0.9394324689971254,0.3901585164695582,partial
pr136,0.5,2,9,0.0728348279719507,0.3253009907927114,0.6673567555329409,0.1388609048589145,partial
pr226,0.1,2,10,0.1121258043746194,0.0511444733887272,0.4363901120147211,0.1826781698597669,partial
pr226,0.25,2,9,0.4883129003158867,0.4713032045025087,0.9389513559003996,0.2397757555252823,partial
pr226,0.5,2,9,0.4276386300373169,0.1532697969130651,0.9835424877972389,0.2913396086500334,partial
d198,0.1,2,9,0.0017540098159148,0.973965162760525,0.651535106135457,0.2115440416644889,partial
d198,0.25,2,10,0.6702515127832059,0.0903011306643848,0.891733065508089,0.3858381960233191,full
d198,0.5,2,10,0.6940812792792512,0.2167360884224609,0.6662157175599704,0.2163287362343122,partial
