cmp,,alpha,beta,w_pers_best,w_pers_prev,w_parent_best,detection_threshold
berlin52,0.0,1.0,4.0,0.0448916769013341,0.0034068150552626,0.1957091892595615,0.100402723603361
berlin52,0.25,1.0,9.0,0.16290056250647555,0.0862693618778358,0.41220875467143864,0.2996433070789324
berlin52,0.5,1.5,9.0,0.3541885505731906,0.18758903878815208,0.774596480040849,0.40416254244584804
berlin52,0.75,2.0,10.0,0.7322042445175949,0.5789464829517041,0.8673312356740198,0.44390531279820805
berlin52,1.0,3.0,10.0,0.9722697857083962,0.962226698303581,0.9860696229889464,0.4965211978807402
d198,0.0,1.0,7.0,0.0017540098159148,0.0165137768209524,0.4174754411299966,0.1369961001761
d198,0.25,2.0,9.25,0.24497733011419962,0.06347229865149373,0.6057024502764778,0.22423375764498227
d198,0.5,2.0,10.0,0.6064500519993586,0.1024485693462489,0.6858898056605821,0.36179501748617793
d198,0.75,3.0,10.0,0.804443382519819,0.7081029725955907,0.882319724646485,0.45718645820450626
d198,1.0,4.0,10.0,0.9352368688062224,0.9749494820560152,0.9846124119884476,0.4927694284042387
eil51,0.0,1.0,5.0,0.0085451982069353,0.0013058587343205,0.1699358970472349,0.1005034943221183
eil51,0.25,1.0,7.0,0.10135340878954588,0.2923295422518103,0.2808141602427695,0.19402792053206736
eil51,0.5,2.0,8.5,0.19506233867669576,0.5035011424279894,0.5970520438033792,0.3329379646556321
eil51,0.75,2.0,9.75,0.9610105456991581,0.7922314503372154,0.8831147115696516,0.40440632614592065
eil51,1.0,5.0,10.0,0.9838055744003416,0.9669078157348256,0.989433046328721,0.4673532156559051
pr136,0.0,1.0,7.0,0.0024046982167409,0.0084471729216077,0.1744182996441411,0.1000586776952464
pr136,0.25,2.0,8.0,0.084477671542753,0.0994553280739396,0.3386291701658647,0.19252755982109943
pr136,0.5,2.0,9.0,0.3489873770996918,0.275681327119771,0.5027759615499374,0.29841749974430076
pr136,0.75,2.0,10.0,0.6769431161929184,0.376132302143883,0.7809241481590734,0.4020634566190981
pr136,1.0,3.0,10.0,0.9792102227882592,0.9823508170176072,0.98570021775642,0.4677200918763524
pr226,0.0,1.0,8.0,0.0031534275907055,0.0136879948159208,0.0243455716583838,0.1059947155622872
pr226,0.25,1.0,9.0,0.07396816934154625,0.1556039242180109,0.37314806391257294,0.1582724734544096
pr226,0.5,2.0,10.0,0.2169825629531053,0.4424258653177224,0.7128991594867584,0.222064161198446
pr226,0.75,2.0,10.0,0.7592318401240349,0.6209019085030367,0.951987131880033,0.29033282542957684
pr226,1.0,3.0,10.0,0.9819332671626134,0.9116711549940856,0.9878070384965864,0.4756053754634357
