,,p,n,tp,fp,fpr,recall,precision,f1
eil51,0.1,6.0,570.0,4.9,0.1,0.00017543859649122808,0.8166666666666668,0.9816666666666668,0.88(0.02)
eil51,0.25,6.0,570.0,5.15,0.1,0.00017543859649122808,0.8583333333333334,0.9816666666666667,0.91(0.02)
eil51,0.5,6.0,570.0,5.65,0.15,0.0002631578947368421,0.9416666666666668,0.9785714285714286,0.96(0.01)
rat195,0.1,6.0,570.0,5.0,0.1,0.00017543859649122808,0.8333333333333334,0.9816666666666667,0.89(0.02)
rat195,0.25,6.0,570.0,5.65,0.4,0.0007017543859649122,0.9416666666666668,0.9404761904761905,0.94(0.01)
rat195,0.5,6.0,570.0,5.7,0.45,0.0007894736842105262,0.9499999999999998,0.9380952380952381,0.94(0.01)
berlin52,0.1,6.0,570.0,4.55,0.1,0.00017543859649122808,0.7583333333333333,0.9749999999999999,0.84(0.03)
berlin52,0.25,6.0,570.0,5.55,0.1,0.00017543859649122808,0.925,0.9828571428571429,0.95(0.02)
berlin52,0.5,6.0,570.0,5.35,0.15,0.0002631578947368421,0.8916666666666666,0.9761904761904763,0.93(0.02)
gil262,0.1,6.0,570.0,5.2,0.15,0.0002631578947368421,0.8666666666666668,0.9745238095238096,0.91(0.02)
gil262,0.25,6.0,570.0,5.1,0.3,0.0005263157894736842,0.85,0.9494047619047619,0.88(0.03)
gil262,0.5,6.0,570.0,5.7,0.15,0.0002631578947368421,0.95,0.9773809523809524,0.96(0.01)
pr136,0.1,6.0,570.0,4.95,0.1,0.00017543859649122808,0.825,0.9857142857142858,0.89(0.02)
pr136,0.25,6.0,570.0,5.2,0.1,0.00017543859649122808,0.8666666666666666,0.9845238095238095,0.92(0.02)
pr136,0.5,6.0,570.0,5.7,0.15,0.0002631578947368421,0.95,0.9761904761904763,0.96(0.02)
lin318,0.1,6.0,570.0,4.95,0.25,0.00043859649122807013,0.825,0.9630952380952381,0.87(0.03)
lin318,0.25,6.0,570.0,5.45,0.05,8.771929824561404e-05,0.9083333333333334,0.9928571428571429,0.94(0.01)
lin318,0.5,6.0,570.0,5.7,0.4,0.0007017543859649123,0.95,0.9416666666666668,0.94(0.02)
pr226,0.1,6.0,570.0,5.1,0.0,0.0,0.85,1.0,0.91(0.02)
pr226,0.25,6.0,570.0,5.2,0.15,0.0002631578947368421,0.8666666666666666,0.9785714285714286,0.91(0.02)
pr226,0.5,6.0,570.0,5.45,0.15,0.0002631578947368421,0.9083333333333332,0.9773809523809524,0.94(0.02)
pr439,0.1,6.0,570.0,5.55,0.15,0.0002631578947368421,0.925,0.9773809523809524,0.95(0.01)
pr439,0.25,6.0,570.0,5.45,0.4,0.0007017543859649123,0.9083333333333334,0.938095238095238,0.92(0.01)
pr439,0.5,6.0,570.0,5.45,0.3,0.0005263157894736842,0.9083333333333334,0.956547619047619,0.93(0.02)
d198,0.1,6.0,570.0,5.6,0.0,0.0,0.9333333333333333,1.0,0.96(0.01)
d198,0.25,6.0,570.0,5.2,0.15,0.0002631578947368421,0.8666666666666666,0.9666666666666668,0.91(0.03)
d198,0.5,6.0,570.0,5.35,0.45,0.0007894736842105263,0.8916666666666666,0.9282142857142857,0.91(0.02)
fl417,0.1,6.0,570.0,5.05,0.15,0.0002631578947368421,0.8416666666666666,0.9757142857142858,0.90(0.02)
fl417,0.25,6.0,570.0,5.2,0.1,0.00017543859649122808,0.8666666666666668,0.9833333333333334,0.91(0.02)
fl417,0.5,6.0,570.0,5.25,0.15,0.0002631578947368421,0.875,0.976190476190476,0.92(0.02)
